timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.71,,
2026-04-29 16:00:00-04:00,0.71,0.82,15.01
2026-02-25 16:00:00-05:00,0.7,0.57,-19.11
2025-10-30 16:00:00-04:00,0.69,0.71,3.37
2025-07-30 16:00:00-04:00,0.7,0.83,17.89
2025-04-30 16:00:00-04:00,0.69,0.51,-24.88
2025-02-20 16:00:00-05:00,0.68,0.67,-0.16
2024-10-31 16:00:00-04:00,0.67,0.67,0.77
2024-07-31 16:00:00-04:00,0.67,0.71,6.92
2024-05-01 16:00:00-04:00,0.66,0.57,-14.27
2024-02-22 16:00:00-05:00,0.65,0.73,12.4
2023-10-25 16:00:00-04:00,0.64,0.64,0.54
2023-07-26 16:00:00-04:00,0.57,0.69,19.3
2023-05-01 16:00:00-04:00,0.64,0.52,-18.47
2023-02-23 16:00:00-05:00,0.57,0.63,9.9
2022-10-27 16:00:00-04:00,0.58,0.58,1.32
2022-07-27 16:00:00-04:00,0.48,-0.05,-109.47
2022-05-04 16:00:00-04:00,0.45,0.35,-22.1
2022-02-23 16:00:00-05:00,0.46,0.44,-3.06
2021-10-27 16:00:00-04:00,0.45,0.31,-30.98
2021-07-28 16:00:00-04:00,0.48,0.54,12.7
2021-04-29 16:00:00-04:00,0.48,0.51,6.5
2021-02-18 16:00:00-05:00,0.48,1.2,150.08
2020-10-28 16:00:00-04:00,0.39,0.12,-68.25
2020-07-29 16:00:00-04:00,0.35,0.47,33.14
