timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,10.08,,
2026-04-30 06:00:00-04:00,3.16,4.22,33.47
2026-01-29 06:00:00-05:00,3.27,3.82,16.95
2025-10-23 06:00:00-04:00,3.05,3.66,19.88
2025-07-24 06:00:00-04:00,1.77,2.28,29.09
2025-04-24 06:00:00-04:00,0.41,0.89,117.31
2025-01-30 06:00:00-05:00,0.06,0.64,970.77
2024-10-24 06:00:00-04:00,0.98,1.14,16.08
2024-07-25 06:00:00-04:00,2.6,2.71,4.37
2024-04-25 06:00:00-04:00,3.22,3.82,18.59
2024-01-25 06:00:00-05:00,3.0,3.55,18.16
2023-10-26 08:00:00-04:00,7.32,7.49,2.26
2023-07-27 06:00:00-04:00,5.08,5.4,6.29
2023-04-27 06:00:00-04:00,7.21,8.27,14.68
2023-01-26 06:00:00-05:00,7.24,8.45,16.72
2022-10-25 06:00:00-04:00,6.94,7.14,2.88
2022-07-28 06:00:00-04:00,9.38,11.36,21.13
2022-04-26 06:00:00-04:00,1.65,2.31,40.32
2022-01-27 06:00:00-05:00,1.84,2.47,34.21
2021-10-21 06:00:00-04:00,0.92,1.22,33.03
2021-07-29 06:00:00-04:00,0.13,0.48,264.44
2021-04-22 06:00:00-04:00,-1.85,-1.73,6.73
2021-01-28 06:00:00-05:00,-1.39,-1.06,23.56
2020-10-22 06:00:00-04:00,-1.33,-1.16,12.97
2020-07-30 06:00:00-04:00,-1.4,-1.25,10.76
