timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 16:00:00-04:00,1.0,,
2026-04-28 16:00:00-04:00,1.01,1.07,6.41
2026-02-03 16:00:00-05:00,0.98,1.04,6.04
2025-10-28 16:00:00-04:00,0.95,0.99,4.38
2025-07-28 16:00:00-04:00,0.88,0.93,5.21
2025-04-29 16:00:00-04:00,0.87,0.95,9.65
2025-02-04 16:00:00-05:00,0.89,0.95,6.54
2024-10-23 16:00:00-04:00,0.85,0.89,4.59
2024-07-25 16:00:00-04:00,0.8,0.85,6.62
2024-04-23 16:00:00-04:00,0.76,0.84,10.04
2024-02-06 16:00:00-05:00,0.81,0.87,7.97
2023-10-25 17:00:00-04:00,0.71,0.75,5.1
