timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.93,,
2026-04-29 07:00:00-04:00,1.74,1.82,4.67
2026-02-18 07:00:00-05:00,1.61,1.82,12.92
2025-10-29 07:00:00-04:00,1.7,1.72,0.96
2025-07-30 07:00:00-04:00,1.77,1.88,6.13
2025-05-07 07:00:00-04:00,1.68,1.73,2.79
2025-02-26 07:00:00-05:00,1.6,1.61,0.8
2024-10-30 07:00:00-04:00,1.6,1.67,4.21
2024-07-31 07:00:00-04:00,1.64,1.74,6.0
2024-05-01 07:00:00-04:00,1.52,1.63,7.52
2024-02-21 07:00:00-05:00,1.44,1.4,-2.72
2023-11-01 06:00:00-04:00,1.47,1.52,3.47
2023-08-02 07:00:00-04:00,1.41,1.51,7.12
2023-05-03 07:00:00-04:00,1.19,1.29,8.43
2023-02-28 16:00:00-05:00,1.17,1.43,22.45
2022-11-01 16:00:00-04:00,1.47,1.46,-0.45
2022-08-02 16:00:00-04:00,1.41,1.53,8.46
2022-05-03 16:00:00-04:00,1.38,1.34,-3.07
2022-02-22 16:00:00-05:00,1.41,1.47,4.55
2021-11-02 16:00:00-04:00,1.36,1.44,5.78
2021-08-03 16:00:00-04:00,1.33,1.17,-11.94
2021-05-04 16:00:00-04:00,1.25,1.23,-1.74
2021-02-23 16:00:00-05:00,1.3,1.27,-2.43
2020-11-04 16:00:00-05:00,1.2,1.32,10.33
2020-08-04 16:00:00-04:00,1.19,1.29,8.36
