timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,0.6,,
2026-05-07 06:00:00-04:00,0.5,0.59,17.54
2026-02-26 06:00:00-05:00,0.53,0.57,7.39
2025-11-06 06:00:00-05:00,0.62,0.67,8.52
2025-08-07 06:00:00-04:00,0.56,0.62,11.55
2025-05-08 07:00:00-04:00,0.49,0.5,1.64
2025-02-27 06:00:00-05:00,0.57,0.54,-5.6
2024-11-07 07:00:00-05:00,0.68,0.75,10.73
2024-08-08 06:00:00-04:00,0.68,0.69,2.29
2024-05-09 06:00:00-04:00,0.67,0.67,-0.41
2024-02-28 06:00:00-05:00,0.65,0.62,-4.29
2023-11-07 16:00:00-05:00,0.74,0.79,6.75
2023-08-07 06:00:00-04:00,0.71,0.75,5.44
2023-05-08 06:00:00-04:00,0.7,0.77,10.56
2023-02-27 06:00:00-05:00,0.72,0.67,-6.1
2022-11-07 06:00:00-05:00,0.84,0.87,4.26
2022-08-08 06:00:00-04:00,0.82,0.88,7.06
2022-05-09 06:00:00-04:00,0.83,0.93,12.3
2022-02-28 06:00:00-05:00,0.83,0.8,-3.02
2021-11-08 06:00:00-05:00,0.88,0.99,11.93
2021-08-09 06:00:00-04:00,0.88,0.98,11.13
2021-05-10 06:00:00-04:00,0.8,0.92,15.69
2021-03-01 17:00:00-05:00,1.24,0.62,-50.3
2020-11-06 09:00:00-05:00,1.16,1.31,13.08
2020-08-06 06:00:00-04:00,0.98,1.11,13.19
