timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-24 08:00:00-04:00,1.27,,
2026-04-27 07:00:00-04:00,1.21,1.28,5.81
2026-01-30 06:00:00-05:00,1.06,1.09,3.28
2025-10-29 06:00:00-04:00,1.19,1.21,1.53
2025-07-21 06:00:00-04:00,1.19,1.22,2.59
2025-04-22 06:00:00-04:00,1.15,1.19,3.66
2025-01-24 06:00:00-05:00,1.1,1.1,0.32
2024-10-22 07:00:00-04:00,1.18,1.19,0.71
2024-07-22 07:00:00-04:00,1.15,1.15,
2024-04-22 07:00:00-04:00,1.12,1.15,2.56
2024-01-23 07:00:00-05:00,1.08,1.08,-0.15
2023-10-24 07:00:00-04:00,1.18,1.22,3.55
2023-07-25 07:00:00-04:00,1.17,1.21,3.77
2023-04-25 06:00:00-04:00,1.19,1.2,0.56
2023-01-24 07:00:00-05:00,1.19,1.19,0.26
2022-10-21 07:00:00-04:00,1.29,1.32,2.53
2022-07-22 07:00:00-04:00,1.33,1.31,-1.13
2022-04-22 07:00:00-04:00,1.32,1.35,2.05
2022-01-25 07:00:00-05:00,1.28,1.31,2.18
2021-10-20 07:00:00-04:00,1.36,1.41,3.64
2021-07-21 07:00:00-04:00,1.3,1.37,5.47
2021-04-21 07:00:00-04:00,1.29,1.31,1.62
2021-01-26 07:00:00-05:00,1.17,1.21,3.3
2020-10-21 07:00:00-04:00,1.21,1.25,2.9
2020-07-24 07:00:00-04:00,1.15,1.18,2.8
