timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,0.81,,
2026-05-05 07:00:00-04:00,2.3,2.45,6.49
2026-02-05 07:00:00-05:00,1.39,1.42,2.28
2025-10-30 07:00:00-04:00,0.81,0.83,2.41
2025-07-30 07:00:00-04:00,0.71,0.76,7.6
2025-05-06 07:00:00-04:00,2.18,2.27,4.28
2025-02-04 07:00:00-05:00,1.42,1.43,0.48
2024-10-31 07:00:00-04:00,0.7,0.82,17.07
2024-07-31 07:00:00-04:00,0.63,0.67,6.24
2024-05-01 07:00:00-04:00,1.91,1.97,3.33
2024-02-01 07:00:00-05:00,1.09,0.69,-36.78
2023-10-31 07:00:00-04:00,0.91,1.0,9.79
2023-08-01 07:00:00-04:00,0.85,0.92,8.57
2023-05-01 07:00:00-04:00,1.58,1.61,1.85
2023-02-02 07:00:00-05:00,0.75,0.8,7.37
2022-11-01 07:00:00-04:00,0.86,0.96,11.64
2022-08-02 07:00:00-04:00,0.85,0.91,7.02
2022-05-02 07:00:00-04:00,1.69,1.79,5.78
2022-02-03 07:00:00-05:00,0.68,0.71,5.07
2021-11-02 07:00:00-04:00,0.79,0.92,15.86
2021-08-03 07:00:00-04:00,0.79,0.87,10.36
2021-05-03 07:00:00-04:00,1.47,1.61,9.63
2021-02-04 07:00:00-05:00,0.73,0.76,4.25
2020-11-03 07:00:00-05:00,0.76,0.84,10.33
2020-08-04 07:00:00-04:00,0.69,0.76,10.33
