timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-14 08:00:00-04:00,1.71,,
2026-04-14 06:00:00-04:00,1.6,1.56,-2.67
2026-01-14 06:00:00-05:00,1.67,1.62,-2.85
2025-10-14 06:00:00-04:00,1.54,1.73,12.32
2025-07-15 06:00:00-04:00,1.4,1.54,10.19
2025-04-11 06:00:00-04:00,1.22,1.28,4.7
2025-01-15 06:00:00-05:00,1.36,1.43,5.46
2024-10-11 06:00:00-04:00,1.28,1.51,18.08
2024-07-12 06:00:00-04:00,1.29,1.33,3.23
2024-04-12 06:00:00-04:00,1.09,1.26,15.7
2024-01-12 06:00:00-05:00,0.87,0.86,-1.39
2023-10-13 06:00:00-04:00,1.24,1.48,19.82
2023-07-14 06:00:00-04:00,1.16,1.25,8.87
2023-04-14 06:00:00-04:00,1.14,1.23,7.86
2023-01-13 06:00:00-05:00,1.14,1.45,27.69
2022-10-14 06:00:00-04:00,1.09,1.3,19.15
2022-07-15 06:00:00-04:00,0.8,0.82,2.81
2022-04-14 06:00:00-04:00,0.81,0.88,9.01
2022-01-14 06:00:00-05:00,1.0,1.25,25.11
2021-10-14 06:00:00-04:00,1.0,1.17,17.18
2021-07-14 07:00:00-04:00,0.93,1.37,47.31
2021-04-14 08:00:00-04:00,0.72,1.05,45.87
2021-01-15 07:00:00-05:00,0.62,0.7,13.31
2020-10-14 07:00:00-04:00,0.47,0.73,55.75
2020-07-14 08:00:00-04:00,-0.15,-0.55,-271.91
