timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-20 16:00:00-04:00,1.09,,
2026-04-21 16:00:00-04:00,1.14,1.3,14.13
2026-01-26 16:00:00-05:00,1.12,1.13,0.45
2025-10-20 16:00:00-04:00,1.1,1.1,-0.25
2025-07-21 16:00:00-04:00,1.02,1.05,2.49
2025-04-21 16:00:00-04:00,0.99,1.01,2.39
2025-01-27 16:00:00-05:00,0.95,1.13,18.49
2024-10-21 16:00:00-04:00,0.96,0.91,-5.45
2024-07-22 16:00:00-04:00,0.93,1.04,12.39
2024-04-23 08:00:00-04:00,0.95,1.04,8.91
2024-01-24 16:00:00-05:00,0.92,0.97,5.61
2023-10-23 16:00:00-04:00,0.78,0.9,14.84
2023-07-20 16:00:00-04:00,0.72,0.76,5.78
2023-04-20 16:00:00-04:00,0.82,0.67,-19.05
2023-01-26 16:00:00-05:00,0.73,0.77,6.15
2022-10-24 16:00:00-04:00,0.57,0.67,18.23
2022-07-21 16:00:00-04:00,0.57,0.75,30.25
2022-04-25 16:00:00-04:00,0.63,0.73,16.76
2022-01-27 16:00:00-05:00,0.56,0.68,22.5
2021-10-21 16:00:00-04:00,0.42,0.59,40.12
2021-07-22 16:00:00-04:00,0.45,0.52,16.85
2021-04-20 16:00:00-04:00,0.36,0.48,33.16
2021-01-26 16:00:00-05:00,0.35,0.41,17.2
2020-10-20 16:00:00-04:00,0.29,0.29,0.08
2020-07-21 16:00:00-04:00,0.05,0.03,-42.35
