timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,3.11,,
2026-04-30 06:00:00-04:00,3.65,3.72,1.8
2026-02-03 06:00:00-05:00,7.93,8.12,2.37
2025-10-30 06:00:00-04:00,3.05,3.07,0.69
2025-07-31 06:00:00-04:00,2.6,2.86,10.21
2025-04-24 06:00:00-04:00,3.19,3.13,-1.84
2025-02-04 06:00:00-05:00,8.03,8.13,1.2
2024-10-31 06:00:00-04:00,2.72,2.93,7.73
2024-07-25 06:00:00-04:00,2.32,2.55,10.15
2024-04-25 06:00:00-04:00,3.25,3.29,1.29
2024-02-06 06:00:00-05:00,7.06,7.44,5.45
2023-10-26 06:00:00-04:00,2.04,2.24,9.55
2023-07-27 06:00:00-04:00,2.33,2.05,-11.94
2023-04-27 06:00:00-04:00,2.8,2.84,1.49
2023-02-09 06:00:00-05:00,6.25,6.33,1.34
2022-10-27 06:00:00-04:00,2.13,2.2,3.28
2022-07-28 06:00:00-04:00,2.29,2.32,1.11
2022-04-28 06:00:00-04:00,2.5,2.66,6.38
2022-02-08 06:00:00-05:00,5.67,5.67,0.04
2021-10-28 06:00:00-04:00,1.58,1.73,9.26
2021-08-03 06:00:00-04:00,1.96,2.66,35.4
2021-04-29 06:00:00-04:00,3.28,3.64,11.01
2021-02-09 06:00:00-05:00,5.03,5.23,3.92
2020-10-29 06:00:00-04:00,1.3,1.33,2.58
2020-07-30 06:00:00-04:00,1.66,1.8,8.72
