timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,1.07,,
2026-05-07 16:00:00-04:00,1.18,1.25,5.5
2026-02-12 16:00:00-05:00,1.48,1.17,-20.7
2025-11-06 16:00:00-05:00,1.15,0.86,-25.44
2025-08-07 16:00:00-04:00,1.2,1.09,-8.79
2025-05-06 16:00:00-04:00,1.24,1.07,-13.98
2025-02-13 16:00:00-05:00,1.27,2.42,91.11
2024-11-04 16:00:00-05:00,1.1,0.9,-17.88
2024-08-06 16:00:00-04:00,1.19,1.12,-6.1
2024-05-07 16:00:00-04:00,1.39,1.59,14.56
2024-02-07 16:00:00-05:00,1.16,1.91,64.9
2023-11-09 16:00:00-05:00,0.8,0.99,23.9
2023-08-09 16:00:00-04:00,0.72,0.91,26.17
2023-05-09 16:00:00-04:00,-0.03,0.29,970.35
2023-02-08 16:00:00-05:00,-1.16,-1.23,-5.67
2022-11-09 16:00:00-05:00,-1.01,-1.2,-18.5
2022-08-09 16:00:00-04:00,-1.02,-0.82,19.69
2022-05-10 16:00:00-04:00,-1.15,-1.21,-5.21
2022-02-15 16:00:00-05:00,-1.18,-1.37,-16.01
2021-11-09 16:00:00-05:00,-1.29,-1.24,4.15
2021-08-04 16:00:00-04:00,-1.58,-1.12,28.98
2021-05-10 16:00:00-04:00,-2.03,-2.41,-18.93
2021-02-04 16:00:00-05:00,-2.4,-2.45,-2.0
2020-11-05 16:00:00-05:00,-3.89,-7.04,-81.12
2020-08-04 16:00:00-04:00,-4.91,-6.14,-25.01
