timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,3.7,,
2026-05-01 06:00:00-04:00,1.01,1.16,15.14
2026-01-30 06:00:00-05:00,1.69,1.71,1.12
2025-10-31 06:00:00-04:00,1.82,1.88,3.03
2025-08-01 06:00:00-04:00,1.56,1.64,4.93
2025-05-02 06:00:00-04:00,1.74,1.76,1.16
2025-01-31 06:00:00-05:00,1.55,1.67,7.87
2024-11-01 06:00:00-04:00,1.87,1.92,2.6
2024-08-02 06:00:00-04:00,2.01,2.14,6.51
2024-04-26 04:00:00-04:00,2.16,2.06,-4.75
2024-02-02 06:00:00-05:00,2.19,2.48,13.04
2023-10-27 03:00:00-04:00,2.36,2.27,-3.82
2023-07-28 06:00:00-04:00,2.02,1.94,-3.91
2023-04-28 06:00:00-04:00,2.59,2.83,9.32
2023-01-31 06:00:00-05:00,3.28,3.4,3.57
2022-10-28 06:00:00-04:00,3.82,4.45,16.48
2022-07-29 06:00:00-04:00,3.89,4.14,6.46
2022-04-29 06:00:00-04:00,2.22,2.07,-6.96
2022-02-01 07:00:00-05:00,1.93,2.05,6.27
2021-10-29 07:00:00-04:00,1.52,1.58,3.79
2021-07-30 07:00:00-04:00,0.99,1.1,10.57
2021-04-30 07:00:00-04:00,0.6,0.65,8.17
2021-02-02 07:00:00-05:00,0.02,0.03,50.0
2020-10-30 07:00:00-04:00,-0.25,-0.18,27.8
2020-07-31 07:00:00-04:00,-0.6,-0.7,-17.05
