timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.34,,
2026-04-28 06:00:00-04:00,1.08,1.12,3.3
2026-02-10 07:00:00-05:00,1.41,1.42,0.83
2025-10-28 06:00:00-04:00,1.23,1.37,11.09
2025-07-31 07:00:00-04:00,1.15,1.26,9.89
2025-04-29 06:00:00-04:00,0.95,1.03,7.99
2025-02-04 06:00:00-05:00,1.13,1.18,4.86
2024-10-31 06:00:00-04:00,1.11,1.11,0.15
2024-07-30 06:00:00-04:00,1.05,1.09,3.51
2024-05-02 06:00:00-04:00,0.84,0.9,7.3
2024-02-06 06:00:00-05:00,0.95,0.99,3.69
2023-10-31 06:00:00-04:00,0.89,0.99,11.8
2023-08-02 06:00:00-04:00,0.81,0.98,20.68
2023-05-04 06:00:00-04:00,0.62,0.72,16.29
2023-02-07 06:00:00-05:00,0.79,0.92,16.18
2022-11-01 06:00:00-04:00,0.66,0.79,19.06
2022-08-02 06:00:00-04:00,0.54,0.66,22.52
2022-05-04 06:00:00-04:00,0.43,0.47,9.58
2022-02-03 06:00:00-05:00,0.61,0.63,2.62
2021-11-02 06:00:00-04:00,0.6,0.63,5.69
2021-08-03 06:00:00-04:00,0.63,0.66,5.45
2021-05-04 06:00:00-04:00,0.37,0.56,49.37
2021-02-04 06:00:00-05:00,0.68,0.81,19.54
2020-10-29 06:00:00-04:00,0.5,0.62,22.82
2020-07-30 06:00:00-04:00,0.38,0.4,4.08
