timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,0.87,,
2026-05-07 16:00:00-04:00,0.68,0.85,25.55
2026-02-26 16:00:00-05:00,0.65,0.65,0.15
2025-11-06 16:00:00-05:00,0.66,0.54,-18.09
2025-08-07 16:00:00-04:00,0.67,0.62,-8.01
2025-05-01 16:00:00-04:00,0.93,0.56,-39.71
2025-02-20 16:00:00-05:00,0.87,0.71,-18.79
2024-11-07 16:00:00-05:00,0.89,0.88,-1.33
2024-08-01 16:00:00-04:00,0.84,0.93,11.36
2024-05-02 16:00:00-04:00,0.73,0.85,16.43
2024-02-22 16:00:00-05:00,0.57,0.45,-21.07
2023-11-02 16:00:00-04:00,0.46,0.55,18.75
2023-08-03 16:00:00-04:00,0.37,0.39,5.66
2023-05-04 16:00:00-04:00,0.34,0.4,17.42
2023-02-23 16:00:00-05:00,0.3,0.22,-27.01
2022-11-03 16:00:00-04:00,0.23,0.42,83.29
2022-08-04 16:00:00-04:00,0.16,0.18,12.25
2022-05-05 16:00:00-04:00,0.2,0.18,-10.62
2022-02-24 16:00:00-05:00,0.23,0.27,16.23
2021-11-04 21:00:00-04:00,0.38,0.37,-3.04
2021-08-02 06:00:00-04:00,0.31,0.66,113.04
2021-05-06 16:00:00-04:00,0.16,0.41,149.85
2021-02-23 16:00:00-05:00,0.24,0.32,33.27
2020-11-05 16:00:00-05:00,0.16,0.34,112.74
2020-08-05 06:00:00-04:00,-0.05,0.18,453.43
