timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.57,,
2026-04-29 07:00:00-04:00,1.39,1.5,7.95
2026-02-04 07:00:00-05:00,1.76,1.73,-1.49
2025-11-04 07:00:00-05:00,1.48,1.58,6.68
2025-08-05 07:00:00-04:00,1.46,1.44,-1.34
2025-04-30 07:00:00-04:00,1.28,1.3,1.53
2025-02-06 07:00:00-05:00,1.6,1.61,0.88
2024-11-05 07:00:00-05:00,1.41,1.37,-2.83
2024-08-06 07:00:00-04:00,1.33,1.35,1.45
2024-05-01 07:00:00-04:00,1.2,1.15,-4.56
2024-02-07 07:00:00-05:00,1.4,1.26,-10.08
2023-11-01 07:00:00-04:00,1.27,1.44,13.15
2023-08-02 07:00:00-04:00,1.24,1.41,13.5
2023-05-03 07:00:00-04:00,1.13,1.06,-6.25
2023-02-08 07:00:00-05:00,1.26,1.31,3.92
2022-11-02 07:00:00-04:00,1.15,1.09,-5.27
2022-08-03 07:00:00-04:00,1.09,1.05,-3.86
2022-05-04 07:00:00-04:00,1.07,1.05,-2.06
2022-02-09 07:00:00-05:00,1.09,1.02,-6.66
2021-10-28 07:00:00-04:00,1.08,1.22,12.57
2021-07-29 07:00:00-04:00,0.95,1.16,22.34
2021-04-28 07:00:00-04:00,0.87,1.07,23.56
2021-02-04 07:00:00-05:00,1.01,1.15,14.08
2020-10-29 07:00:00-04:00,0.79,1.01,27.1
2020-07-30 07:00:00-04:00,0.55,0.82,48.95
