timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,2.01,,
2026-04-28 06:00:00-04:00,1.86,2.09,12.21
2026-02-10 06:00:00-05:00,2.4,2.42,0.93
2025-11-05 06:00:00-05:00,1.87,1.9,1.83
2025-08-07 06:00:00-04:00,1.98,2.07,4.75
2025-05-05 06:00:00-04:00,1.77,1.81,2.27
2025-02-06 06:00:00-05:00,2.29,2.31,0.76
2024-10-30 06:00:00-04:00,1.74,1.74,0.2
2024-08-07 06:00:00-04:00,1.99,2.01,0.93
2024-05-02 06:00:00-04:00,1.87,1.94,3.75
2024-02-08 06:00:00-05:00,2.16,2.2,2.01
2023-11-07 06:00:00-05:00,1.6,1.65,2.86
2023-08-01 06:00:00-04:00,1.81,1.82,0.41
2023-05-02 06:00:00-04:00,1.64,1.89,15.2
2023-02-03 06:00:00-05:00,1.83,1.88,2.76
2022-11-02 06:00:00-04:00,1.56,1.58,1.58
2022-08-02 06:00:00-04:00,1.64,1.82,10.74
2022-05-03 06:00:00-04:00,1.42,1.61,13.76
2022-02-07 06:00:00-05:00,1.98,1.95,-1.32
2021-11-04 06:00:00-04:00,1.76,1.81,3.06
2021-08-03 06:00:00-04:00,1.86,1.9,1.88
2021-05-04 06:00:00-04:00,1.53,1.71,12.07
2021-02-05 06:00:00-05:00,2.06,2.11,2.27
2020-11-06 06:00:00-05:00,1.08,1.81,67.36
2020-08-04 06:00:00-04:00,-0.63,0.05,107.97
