spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,Z,0,0.278253,0.892928,0.829481,1.057498,4
centrist,A,0,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,0,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,0,0.160970,0.866185,0.829481,1.057498,4
centrist,C_PP,0,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,0,0.227848,0.881434,0.829481,1.057498,4
centrist,D,0,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,1,0.278253,0.892928,0.829481,1.057498,4
centrist,A,1,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,1,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,1,0.123783,0.857706,0.829481,1.057498,4
centrist,C_PP,1,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,1,0.123783,0.857706,0.829481,1.057498,4
centrist,D,1,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,2,0.000000,0.781298,0.829481,1.057498,4
centrist,A,2,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,2,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,2,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,2,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,2,0.000000,0.829221,0.829481,1.057498,4
centrist,D,2,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,3,0.000000,0.806480,0.829481,1.057498,5
centrist,A,3,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,3,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,3,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,3,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,3,0.227848,0.881434,0.829481,1.057498,5
centrist,D,3,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,4,0.278253,0.892928,0.829481,1.057498,3
centrist,A,4,0.278253,0.892928,0.829481,1.057498,3
centrist,C_CN,4,0.746434,0.999681,0.829481,1.057498,3
centrist,C_CN_ADV,4,0.278253,0.892928,0.829481,1.057498,3
centrist,C_PP,4,0.746434,0.999681,0.829481,1.057498,3
centrist,C_PP_ADV,4,0.227848,0.881434,0.829481,1.057498,3
centrist,D,4,1.000000,1.057498,0.829481,1.057498,3
centrist,Z,5,0.000000,0.764136,0.829481,1.057498,4
centrist,A,5,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,5,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,5,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,5,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,5,0.227848,0.881434,0.829481,1.057498,4
centrist,D,5,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,6,0.000000,0.711174,0.829481,1.057498,4
centrist,A,6,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,6,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,6,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,6,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,6,0.278253,0.892928,0.829481,1.057498,4
centrist,D,6,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,7,0.227848,0.881434,0.829481,1.057498,4
centrist,A,7,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,7,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,7,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,7,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,7,0.278253,0.892928,0.829481,1.057498,4
centrist,D,7,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,8,0.000000,0.711174,0.829481,1.057498,5
centrist,A,8,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,8,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,8,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,8,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,8,0.227848,0.881434,0.829481,1.057498,5
centrist,D,8,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,9,0.278253,0.892928,0.829481,1.057498,5
centrist,A,9,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,9,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,9,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,9,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,9,0.227848,0.881434,0.829481,1.057498,5
centrist,D,9,1.000000,1.057498,0.829481,1.057498,5
