sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.00,Z,0,0.235695,0.920411,0.867307,1.092613
0.00,A,0,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,0,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,0,0.755419,1.037507,0.867307,1.092613
0.00,D,0,1.000000,1.092613,0.867307,1.092613
0.00,Z,1,0.755419,1.037507,0.867307,1.092613
0.00,A,1,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,1,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,1,0.755419,1.037507,0.867307,1.092613
0.00,D,1,1.000000,1.092613,0.867307,1.092613
0.00,Z,2,0.211251,0.914904,0.867307,1.092613
0.00,A,2,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,2,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,2,0.755419,1.037507,0.867307,1.092613
0.00,D,2,1.000000,1.092613,0.867307,1.092613
0.00,Z,3,0.755419,1.037507,0.867307,1.092613
0.00,A,3,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,3,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,3,0.755419,1.037507,0.867307,1.092613
0.00,D,3,1.000000,1.092613,0.867307,1.092613
0.00,Z,4,0.000000,0.746701,0.867307,1.092613
0.00,A,4,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,4,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,4,0.755419,1.037507,0.867307,1.092613
0.00,D,4,1.000000,1.092613,0.867307,1.092613
0.00,Z,5,0.235695,0.920411,0.867307,1.092613
0.00,A,5,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,5,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,5,0.755419,1.037507,0.867307,1.092613
0.00,D,5,1.000000,1.092613,0.867307,1.092613
0.00,Z,6,0.000000,0.728314,0.867307,1.092613
0.00,A,6,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,6,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,6,0.755419,1.037507,0.867307,1.092613
0.00,D,6,1.000000,1.092613,0.867307,1.092613
0.00,Z,7,0.755419,1.037507,0.867307,1.092613
0.00,A,7,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,7,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,7,0.755419,1.037507,0.867307,1.092613
0.00,D,7,1.000000,1.092613,0.867307,1.092613
0.00,Z,8,0.235695,0.920411,0.867307,1.092613
0.00,A,8,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,8,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,8,0.755419,1.037507,0.867307,1.092613
0.00,D,8,1.000000,1.092613,0.867307,1.092613
0.00,Z,9,0.000000,0.746701,0.867307,1.092613
0.00,A,9,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,9,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,9,0.755419,1.037507,0.867307,1.092613
0.00,D,9,1.000000,1.092613,0.867307,1.092613
0.00,Z,10,0.755419,1.037507,0.867307,1.092613
0.00,A,10,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,10,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,10,0.755419,1.037507,0.867307,1.092613
