spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,Z,0,0.351219,0.915832,0.840460,1.055062
centrist,A,0,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,0,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,0,0.793094,1.010660,0.840460,1.055062
centrist,D,0,1.000000,1.055062,0.840460,1.055062
centrist,Z,1,0.306475,0.906230,0.840460,1.055062
centrist,A,1,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,1,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,1,0.793094,1.010660,0.840460,1.055062
centrist,D,1,1.000000,1.055062,0.840460,1.055062
centrist,Z,2,0.000000,0.775515,0.840460,1.055062
centrist,A,2,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,2,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,2,0.793094,1.010660,0.840460,1.055062
centrist,D,2,1.000000,1.055062,0.840460,1.055062
centrist,Z,3,0.306475,0.906230,0.840460,1.055062
centrist,A,3,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,3,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,3,0.793094,1.010660,0.840460,1.055062
centrist,D,3,1.000000,1.055062,0.840460,1.055062
centrist,Z,4,0.306475,0.906230,0.840460,1.055062
centrist,A,4,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,4,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,4,0.793094,1.010660,0.840460,1.055062
centrist,D,4,1.000000,1.055062,0.840460,1.055062
centrist,Z,5,0.000000,0.694519,0.840460,1.055062
centrist,A,5,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,5,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,5,0.793094,1.010660,0.840460,1.055062
centrist,D,5,1.000000,1.055062,0.840460,1.055062
centrist,Z,6,0.293077,0.903355,0.840460,1.055062
centrist,A,6,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,6,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,6,0.793094,1.010660,0.840460,1.055062
centrist,D,6,1.000000,1.055062,0.840460,1.055062
centrist,Z,7,0.793094,1.010660,0.840460,1.055062
centrist,A,7,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,7,0.793094,1.010660,0.840460,1.055062
