spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,Z,0,0.057051,0.852703,0.840460,1.055062
centrist,A,0,0.057051,0.852703,0.840460,1.055062
centrist,C_CN,0,0.351219,0.915832,0.840460,1.055062
centrist,C_PP,0,0.351219,0.915832,0.840460,1.055062
centrist,D,0,1.000000,1.055062,0.840460,1.055062
centrist,Z,1,-0.013496,0.837563,0.840460,1.055062
centrist,A,1,0.346646,0.914851,0.840460,1.055062
centrist,C_CN,1,0.346646,0.914851,0.840460,1.055062
centrist,C_PP,1,0.346646,0.914851,0.840460,1.055062
centrist,D,1,1.000000,1.055062,0.840460,1.055062
centrist,Z,2,0.133312,0.869069,0.840460,1.055062
centrist,A,2,0.100586,0.862046,0.840460,1.055062
centrist,C_CN,2,0.133312,0.869069,0.840460,1.055062
centrist,C_PP,2,0.133312,0.869069,0.840460,1.055062
centrist,D,2,1.000000,1.055062,0.840460,1.055062
centrist,Z,3,-0.277399,0.780929,0.840460,1.055062
centrist,A,3,0.083078,0.858288,0.840460,1.055062
centrist,C_CN,3,0.162283,0.875286,0.840460,1.055062
centrist,C_PP,3,0.083078,0.858288,0.840460,1.055062
centrist,D,3,1.000000,1.055062,0.840460,1.055062
centrist,Z,4,-0.204032,0.796674,0.840460,1.055062
centrist,A,4,0.334409,0.912225,0.840460,1.055062
centrist,C_CN,4,0.354291,0.916491,0.840460,1.055062
centrist,C_PP,4,0.354291,0.916491,0.840460,1.055062
centrist,D,4,1.000000,1.055062,0.840460,1.055062
centrist,Z,5,0.211593,0.885868,0.840460,1.055062
centrist,A,5,0.211593,0.885868,0.840460,1.055062
centrist,C_CN,5,0.390035,0.924162,0.840460,1.055062
centrist,C_PP,5,0.390035,0.924162,0.840460,1.055062
centrist,D,5,1.000000,1.055062,0.840460,1.055062
centrist,Z,6,-0.211573,0.795055,0.840460,1.055062
centrist,A,6,0.293077,0.903355,0.840460,1.055062
centrist,C_CN,6,0.293077,0.903355,0.840460,1.055062
centrist,C_PP,6,0.293077,0.903355,0.840460,1.055062
centrist,D,6,1.000000,1.055062,0.840460,1.055062
centrist,Z,7,-0.430775,0.748014,0.840460,1.055062
centrist,A,7,0.055037,0.852271,0.840460,1.055062
centrist,C_CN,7,0.055037,0.852271,0.840460,1.055062
centrist,C_PP,7,-0.189093,0.799880,0.840460,1.055062
centrist,D,7,1.000000,1.055062,0.840460,1.055062
centrist,Z,8,-0.028173,0.834414,0.840460,1.055062
centrist,A,8,0.145739,0.871736,0.840460,1.055062
centrist,C_CN,8,0.145739,0.871736,0.840460,1.055062
centrist,C_PP,8,0.096542,0.861178,0.840460,1.055062
centrist,D,8,1.000000,1.055062,0.840460,1.055062
centrist,Z,9,-0.034396,0.833078,0.840460,1.055062
centrist,A,9,0.298799,0.904583,0.840460,1.055062
centrist,C_CN,9,0.298799,0.904583,0.840460,1.055062
centrist,C_PP,9,0.298799,0.904583,0.840460,1.055062
centrist,D,9,1.000000,1.055062,0.840460,1.055062
centrist,Z,10,-0.170499,0.803870,0.840460,1.055062
centrist,A,10,0.316497,0.908381,0.840460,1.055062
centrist,C_CN,10,0.607917,0.970920,0.840460,1.055062
centrist,C_PP,10,0.607917,0.970920,0.840460,1.055062
centrist,D,10,1.000000,1.055062,0.840460,1.055062
centrist,Z,11,-0.200678,0.797394,0.840460,1.055062
centrist,A,11,0.237854,0.891504,0.840460,1.055062
centrist,C_CN,11,0.237854,0.891504,0.840460,1.055062
centrist,C_PP,11,0.237854,0.891504,0.840460,1.055062
centrist,D,11,1.000000,1.055062,0.840460,1.055062
centrist,Z,12,-0.168487,0.804302,0.840460,1.055062
centrist,A,12,0.462484,0.939710,0.840460,1.055062
centrist,C_CN,12,0.462484,0.939710,0.840460,1.055062
centrist,C_PP,12,0.462484,0.939710,0.840460,1.055062
centrist,D,12,1.000000,1.055062,0.840460,1.055062
centrist,Z,13,0.233955,0.890667,0.840460,1.055062
centrist,A,13,0.332921,0.911905,0.840460,1.055062
centrist,C_CN,13,0.332921,0.911905,0.840460,1.055062
centrist,C_PP,13,0.346646,0.914851,0.840460,1.055062
centrist,D,13,1.000000,1.055062,0.840460,1.055062
centrist,Z,14,-0.182927,0.801203,0.840460,1.055062
centrist,A,14,0.179299,0.878938,0.840460,1.055062
centrist,C_CN,14,0.447386,0.936470,0.840460,1.055062
centrist,C_PP,14,0.447386,0.936470,0.840460,1.055062
centrist,D,14,1.000000,1.055062,0.840460,1.055062
centrist,Z,15,0.441617,0.935232,0.840460,1.055062
centrist,A,15,0.441617,0.935232,0.840460,1.055062
centrist,C_CN,15,0.598003,0.968793,0.840460,1.055062
centrist,C_PP,15,0.598003,0.968793,0.840460,1.055062
centrist,D,15,1.000000,1.055062,0.840460,1.055062
centrist,Z,16,-0.235408,0.789940,0.840460,1.055062
centrist,A,16,0.345627,0.914632,0.840460,1.055062
centrist,C_CN,16,0.369227,0.919697,0.840460,1.055062
centrist,C_PP,16,0.369227,0.919697,0.840460,1.055062
centrist,D,16,1.000000,1.055062,0.840460,1.055062
centrist,Z,17,-0.209465,0.795508,0.840460,1.055062
centrist,A,17,0.103352,0.862639,0.840460,1.055062
centrist,C_CN,17,0.103352,0.862639,0.840460,1.055062
centrist,C_PP,17,0.103352,0.862639,0.840460,1.055062
centrist,D,17,1.000000,1.055062,0.840460,1.055062
centrist,Z,18,0.176980,0.878440,0.840460,1.055062
centrist,A,18,0.302004,0.905270,0.840460,1.055062
centrist,C_CN,18,0.302004,0.905270,0.840460,1.055062
centrist,C_PP,18,0.026893,0.846231,0.840460,1.055062
centrist,D,18,1.000000,1.055062,0.840460,1.055062
centrist,Z,19,-0.262237,0.784183,0.840460,1.055062
centrist,A,19,0.083802,0.858444,0.840460,1.055062
centrist,C_CN,19,0.138342,0.870148,0.840460,1.055062
centrist,C_PP,19,0.138342,0.870148,0.840460,1.055062
centrist,D,19,1.000000,1.055062,0.840460,1.055062
centrist,Z,20,-0.275649,0.781305,0.840460,1.055062
centrist,A,20,0.213728,0.886326,0.840460,1.055062
centrist,C_CN,20,0.213728,0.886326,0.840460,1.055062
centrist,C_PP,20,0.213728,0.886326,0.840460,1.055062
