condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
a,default,False,0,P4,False,36,2,5,3,7
a,default,False,1,P3,False,71,2,5,7,3
a,default,False,2,P4,False,84,4,4,6,7
a,default,False,3,P3,False,75,3,3,7,3
a,default,False,4,P4,False,24,3,3,3,7
a,default,False,5,P1,True,57,7,5,5,4
a,default,False,6,P4,False,32,3,2,5,7
a,default,False,7,P1,True,29,7,2,2,3
a,default,False,8,P3,False,39,2,4,7,3
a,default,False,9,P1,True,53,7,3,6,5
a,default,False,10,P4,False,32,2,4,4,7
a,default,False,11,P3,False,55,6,2,7,4
a,default,False,12,P3,False,55,4,4,7,3
a,default,False,13,P3,False,27,2,2,7,6
a,default,False,14,P3,False,59,3,3,7,3
a,default,False,15,P3,False,43,2,2,7,4
a,default,False,16,P3,False,55,4,3,7,3
a,default,False,17,P3,False,31,3,3,7,3
a,default,False,18,P4,False,60,4,3,5,8
a,default,False,19,P3,False,59,3,4,8,6
a,default,False,20,P4,False,80,4,2,5,7
a,default,False,21,P3,False,23,2,3,7,3
a,default,False,22,P4,False,56,3,4,6,7
a,default,False,23,P3,False,51,4,3,8,4
a,default,False,24,P1,True,33,7,4,5,5
a,default,False,25,P1,True,57,7,2,5,6
a,default,False,26,P3,False,67,6,2,7,4
a,default,False,27,P4,False,44,3,2,6,7
a,default,False,28,P3,False,47,3,4,7,3
a,default,False,29,P1,True,57,7,2,6,6
a,sym_aggressive,False,0,P3,False,43,4,2,7,4
a,sym_aggressive,False,1,P1,True,57,7,2,5,3
a,sym_aggressive,False,2,P3,False,51,5,2,7,2
a,sym_aggressive,False,3,P1,True,45,7,2,2,5
a,sym_aggressive,False,4,P4,False,44,3,4,6,7
a,sym_aggressive,False,5,P1,True,41,7,2,3,3
a,sym_aggressive,False,6,P3,False,51,3,3,7,3
a,sym_aggressive,False,7,P4,False,44,6,3,6,7
a,sym_aggressive,False,8,P1,True,33,7,2,4,2
a,sym_aggressive,False,9,P1,True,49,8,2,4,3
a,sym_aggressive,False,10,P3,False,51,3,3,7,5
a,sym_aggressive,False,11,P3,False,35,2,2,7,4
a,sym_aggressive,False,12,P3,False,31,2,2,7,2
a,sym_aggressive,False,13,P3,False,43,5,2,7,3
a,sym_aggressive,False,14,P3,False,47,2,5,7,2
a,sym_aggressive,False,15,P3,False,59,5,3,7,6
a,sym_aggressive,False,16,P1,True,33,7,2,4,3
