sha,files,py_files,test_files,py_loc,a_added,a_deleted,a_py_added,a_py_deleted,a_py_ins,a_py_del
943a5c8e89db1758ae24adbbedacb3b05c32df4a,89,35,14,9662,0,0,0,0,0,0
9fc639d0306a8068057c9f5bcd34adf5f20fb083,89,35,14,9656,0,0,0,0,0,6
ef88b9faa6d73bc83a07ddebc424c551d2ee671c,89,35,14,9656,0,0,0,0,1,1
4499401a55dedea27831fd9b3c6249b9679f3a2d,89,35,14,9656,0,0,0,0,1,1
f6e13ccfc4b50dc458ee374e5dba347205b9a2da,89,35,14,9656,0,0,0,0,0,0
5aeec8b661f992050b1d034e727d7ce0326e9a56,89,35,14,9669,0,0,0,0,26,13
4d51e6d20179bdc906c45506c0817b6b677589ae,89,35,14,9669,0,0,0,0,5,5
8e43d34d1fe5dd44bec92a9d78a37149a4a29207,89,35,14,9675,0,0,0,0,6,0
6686ac173011a302c26c4aedbd992f96d6e58357,89,35,14,9676,0,0,0,0,1,0
e4d214dd763caf9a59dba0b382106cbf9938aa51,89,35,14,9680,0,0,0,0,5,1
285ab5b06be3d0573eec0269b0d5fae3ae68087d,89,35,14,9682,0,0,0,0,2,0
c8f3add5ed31bbb82cb337435295200a3525920a,89,35,14,9682,0,0,0,0,0,0
489f58ced52fc298c38534ecbed2c29ca8a126dd,89,35,14,9681,0,0,0,0,2,3
922aa406b53f14a67264e07d12fb042704be7374,89,35,14,9681,0,0,0,0,0,0
dffd5d435e2d51958af1ccc9fd5e0f8f9df2fdfe,89,35,14,9684,0,0,0,0,4,1
9cfd292da33f3b8324ce2c20e01db0e2f8b9210b,89,35,14,9689,0,0,0,0,5,0
704abf13325355497fc2df73259fb24615c237b9,89,35,14,9689,0,0,0,0,0,0
33b41c7880a02166d12915ca9c4cfc13de2d9fb7,89,35,14,9689,0,0,0,0,0,0
f4818b2010ce0846e9ddc85f439b80303a395494,90,35,14,9689,1,0,0,0,0,0
a559d62f17c0c3129029870146b74da50a81d433,89,35,14,9689,0,1,0,0,0,0
e976ea839b55e07f01a962c5bb38bedb543a2df7,89,35,14,9689,0,0,0,0,0,0
79e28b7f03510804d824d2dc76ba4a273bc7ddce,90,35,14,9689,1,0,0,0,0,0
e7cce354c1aff7badfe464e07204ccd41a522a7d,90,35,14,9689,0,0,0,0,0,0
0755c4cf1b930f771fe3a3b525bbd370248c0a4e,90,35,14,9689,0,0,0,0,0,0
15029e3b1668449d01a99f2e10a67f4dec1b650b,90,35,14,9689,0,0,0,0,0,0
8472dbd13408e35611a38d58f32eb531ce0ffe1e,90,35,14,9689,0,0,0,0,0,0
dd754d13de250a6af8a68a6a83a8b4419fd429c6,90,35,14,9689,0,0,0,0,1,1
4e7e2707e34c4f2d5785a4204528904dddb477a7,91,35,14,9689,1,0,0,0,0,0
fdcb717cf726ddd39a2f22a5bbae3f1aa017d7f3,91,35,14,9729,0,0,0,0,52,12
7675468068d81455a3006af45fd3d67c408f1b9c,91,35,14,9729,0,0,0,0,0,0
9866277c03188d92f4ab609d12da8a160bd72294,90,35,14,9729,0,1,0,0,0,0
eea96f94d9501f9a04d7e2c0a02096871af012c8,90,35,14,9729,0,0,0,0,4,4
02a5d7ba6807171c9958d97c469f2932ad3eec71,90,35,14,9729,0,0,0,0,0,0
5251882a03d2ecc3964a1cc4eed2b078348a241d,91,35,14,9729,1,0,0,0,0,0
efc4ea6ed717c2085a7aee3e185680a2b06bc3f4,90,35,14,9729,0,1,0,0,0,0
cb1bd313e1116dc68d90eb919df1b5a5d792bab5,90,35,14,9729,0,0,0,0,0,0
3f024ff7746ff2eed5b7ca04f0266fa2a51fa529,90,35,14,9729,0,0,0,0,0,0
05dd0b88a18f5a987f05b58a31a5dc55f6665182,90,35,14,9729,0,0,0,0,0,0
76cf1fa21416d9263a81f61c753375795ebf2e72,90,35,14,9729,0,0,0,0,0,0
dcf5617a5e3b8d84ef57000d4b09f28fc6607832,90,35,14,9729,0,0,0,0,0,0
d26f6314ab07eb8ea42ffb0a96e28deebf61ed18,90,35,14,9729,0,0,0,0,0,0
207e83f6b63250c2251f9654f31507ea5cc7edc6,90,35,14,9729,0,0,0,0,0,0
8f20b7dc8f79046d0a1015b9605df5c30fa44197,90,35,14,9729,0,0,0,0,0,0
ff0c325014f817095de35013d385e137b111d6e8,90,35,14,9729,0,0,0,0,8,8
a6cd380c640087218695bc7c62311a4843777e43,90,35,14,9744,0,0,0,0,17,2
2c6a8426aebd853966747f2c851f551c583cb21a,90,35,14,9744,0,0,0,0,0,0
75bdc998e2d430a35d869b2abf1779bd0d34890e,90,35,14,9713,0,0,0,0,68,99
a1f4e62aa4724bffbc3e35b960afc26302442af1,90,35,14,9713,0,0,0,0,0,0
edf7731e666db9e5252b8736e61d50632e01faa4,90,35,14,9713,0,0,0,0,0,0
d2962f1d55a211a4606d8387b6333de7a21e630d,90,35,14,9713,0,0,0,0,0,0
7c812e919b3cd3267c2159be96ad63fff3dd1260,90,35,14,9713,0,0,0,0,0,0
eaab47f033cae3bd443abb6707dfc30ae3482c36,90,35,14,9735,0,0,0,0,24,2
c501ec986daa4961cd9dee370b5d45ff2e524b37,90,35,14,9735,0,0,0,0,1,1
6cfbe1aedd56f8c2f9ff8b968efe65b22669795b,90,35,14,9735,0,0,0,0,2,2
bedd9284c9646e50c10b3defdf519d4ba479e2c7,90,35,14,9735,0,0,0,0,1,1
7d4fc04a6fe64a524c2db9b177ed4758c01bd3fd,92,35,14,9735,2,0,0,0,0,0
398d1105b4c25740687baf0c5635b9c8ce00f632,93,35,14,9735,1,0,0,0,0,0
ce52825d125f7b58a426b0c88c619af21b71ed0d,93,35,14,9735,0,0,0,0,0,0
9533df1f0b4b87aed20bca300dfdc9f5138fe80a,92,35,14,9735,0,1,0,0,0,0
75e2dd3094983f5fe893d0054fff401e33dbcfca,92,35,14,9735,0,0,0,0,0,0
5e0ebc9b9fc4e98c213b3bf6cbc4048d791c1f12,92,35,14,9735,0,0,0,0,0,0
3da2f10290a0dc78e34031856438ef1fed4e7435,91,35,14,9735,0,1,0,0,0,0
d911f278689bf10b7a74c5b1e8e4f2af103e87d7,90,35,14,9735,0,1,0,0,0,0
bc3eddc6eda5ec1937a9103a475a73ed6557cb9b,89,35,14,9735,0,1,0,0,0,0
57d7284c1a245cf9fbcecb594f50471d86e879f7,89,35,14,9735,0,0,0,0,0,0
c35f34263ae9162b91b7a57ca64594e9a296b617,93,35,14,9735,5,1,0,0,0,0
abe950cfd3ee437279ca23866da6571571b637a6,90,35,14,9735,0,3,0,0,0,0
8761e9736f7d5508a5547cdf3adecbe0b7306278,90,35,14,9735,0,0,0,0,1,1
c452e3b92d65cb9b5377606488888da0da5db3ad,90,35,14,9735,0,0,0,0,2,2
5c1f72e80a7d7ac129631ea5b0c34c7876bc6ed7,90,35,14,9735,0,0,0,0,2,2
f37daf25006a4b475b1bea90fecdd035146dbc3b,90,35,14,9735,0,0,0,0,0,0
67a9ed47aec4f9f8280e58e4e05e3a753f62ae15,90,35,14,9744,0,0,0,0,10,1
64bde6582d9b49e9345d9b8df16aaa26dc372d13,90,35,14,9744,0,0,0,0,0,0
c9309e4c59acfa757b34619205794e18f2009c43,90,35,14,9744,0,0,0,0,0,0
f2409648acd584a8e6600778bcde86701e8c71fb,90,35,14,9744,0,0,0,0,0,0
63e7748fe502f44d112486d81a0da8cf38f36455,90,35,14,9744,0,0,0,0,0,0
a345b776fb2cf67d1a1810349e71fd60a83f53eb,90,35,14,9748,0,0,0,0,107,103
76a89c3c9b973034b3f615b10615f172e631c743,90,35,14,9748,0,0,0,0,0,0
9742da7f91f595796a412a8150aacc00191be039,90,35,14,9748,0,0,0,0,0,0
69856f3052037e47113c59c5c22cc48d20a6f6b0,90,35,14,9748,0,0,0,0,0,0
2d120e32dbb511bcabee02277d31d26fa986f576,90,35,14,9748,0,0,0,0,0,0
5d0635473446121afeea34d109504a44be14d4e0,90,35,14,9748,0,0,0,0,0,0
7f438416e447f5c05233f3c9142aef5707aa528d,90,35,14,9748,0,0,0,0,0,0
d22d219d34c81a1f5e599a43b3beb9449c5cf15e,90,35,14,9748,0,0,0,0,0,0
e3c3c0a8fe4a0e89b7ca415afe23ae5aff5de48f,90,35,14,9748,0,0,0,0,0,0
e73a6c52d205915c4d84e24ba01a5cd67e37d094,90,35,14,9748,0,0,0,0,0,0
1f9425ca53ebbce4e87edab93cbcbcdfa037c289,90,35,14,9748,0,0,0,0,0,0
e52932c427438c30c3600a690fb8093a1d643ef3,90,35,14,9748,0,0,0,0,0,0
b5b8c038a7da3ed0463cb636ea13f0fde9319118,90,35,14,9748,0,0,0,0,0,0
b18f7657740071d8db7e04adada717caf4728443,90,35,14,9748,0,0,0,0,0,0
8e26bfd86d6fbfb0a61417fa463c373325b28f6d,90,35,14,9747,0,0,0,0,7,8
a79a63390bc963e5924021086744e53585566307,90,35,14,9747,0,0,0,0,0,0
6f81e78dfe0b7419bde97cae594febfffab8e431,90,35,14,9747,0,0,0,0,1,1
4983a9bde39c6320aa4f3e34e50dac6e263dab6f,90,35,14,9747,0,0,0,0,0,0
0b6c110a5cd65685c42702b27e2872ad9c234ab8,90,35,14,9749,0,0,0,0,3,1
9a2e5df000691ad28613524ca7f80aa28a94a8d5,90,35,14,9749,0,0,0,0,1,1
589a82256759018a7e5e289302898dae32544949,90,35,14,9749,0,0,0,0,0,0
a4c18cd733f97b5659a29589432d8a39e7a0de87,90,35,14,9749,0,0,0,0,1,1
bf582192b828fba84c5a81d2524e185ab98ecb7d,90,35,14,9749,0,0,0,0,0,0
9f55e4bc09b1c4ce186f8fe63d711fc74eec5c6f,90,35,14,9749,0,0,0,0,0,0
d79024f246d1037c4196da6027c2c2be08719c8d,90,35,14,9749,0,0,0,0,11,11
dd15e5284035b4a3e44bcdf8d6fdfe63ac77dcc7,90,35,14,9749,0,0,0,0,3,3
0fe6653eabc3e0a4b8c48e374fb7ee83a3bf829b,90,35,14,9750,0,0,0,0,3,2
11ed88bcb2748f4ce7924e95ae47a9c0b87d6af4,90,35,14,9746,0,0,0,0,1,5
42c5a4f62268dd6e0499aac02a2ef481286e5798,90,35,14,9701,0,0,0,0,13,58
67a7b2e8336951d527e223429672354989384197,90,35,14,9759,0,0,0,0,61,3
1b450d2038b276a3e0921389bed515f71bad60f4,90,35,14,9759,0,0,0,0,0,0
5eb73374945823748920758c44b9b747cef0c93e,89,35,14,9759,0,1,0,0,0,0
8086ffdbbfc1e1f80c358ae9047c97c37b6b47bb,89,35,14,9763,0,0,0,0,4,0
bbc3d43522bcb1363050557655508d66bfebcfcf,89,35,14,9769,0,0,0,0,13,7
82c744b59c4cd8c6bc5303a8ed7c892b6490b888,89,35,14,9776,0,0,0,0,8,1
ada50499a0de44219a581ade3e8cebfa5c7334e4,89,35,14,9776,0,0,0,0,0,0
3e7d0a873f838e0001f7ac69b1987147128a7b5f,89,35,14,9782,0,0,0,0,14,8
a71e2240dfcf9609a50b09e12becd9f4b29fcde7,89,35,14,9816,0,0,0,0,34,0
428f7a275914f60a8f1e76a7d69516d617433d30,89,35,14,9816,0,0,0,0,1,1
7ca0e86a6752a5a763e5e82d94f34a522a976708,89,35,14,9816,0,0,0,0,0,0
