sha,files,py_files,test_files,py_loc,a_added,a_deleted,a_py_added,a_py_deleted,a_py_ins,a_py_del
edc7a4a0ad4c760a42534219789e08b50a9ee5d4,3,0,0,0,0,0,0,0,0,0
6ba85d464c588d7166f2aea897e5265ade93b9eb,4,1,0,99,1,0,1,0,100,0
d622b1807f4d5a5dd8f80bb3657aa8f9da9617fc,5,2,0,110,1,0,1,0,11,0
2ef7f7c6757e430f7a8a8302416ada65a6170b96,6,2,0,111,1,0,0,0,1,0
a9db35ae26d5d54bc9731009d75f1b029d26bc0c,6,2,0,111,0,0,0,0,0,0
8962c1aef24f96767bfd7ccd7920585f1f38f790,6,2,0,117,0,0,0,0,6,1
19c6f5416cd5964f9efe748eafde79ae50a92562,6,2,0,117,0,0,0,0,1,1
4a2ab5b8af2937ba73f5aef3bcd3a16d6c2ad3a6,6,2,0,120,0,0,0,0,8,5
0bd6dc84010e3c5d80ca2a6622b4b54e8ae345a3,6,2,0,120,0,0,0,0,8,8
2ad667d33819b4ccc28205ec96a376dc050f7256,6,2,0,125,0,0,0,0,12,7
da5fdbf7c05a9127f04ac5887292457e8335f480,6,2,0,126,0,0,0,0,1,0
777314ce9a7f2b5fa842e010d899ea993a3025f7,6,2,0,126,0,0,0,0,0,0
da4b29f3cd48726b21d1c37aff854d3e29ce1507,9,3,0,135,3,0,1,0,9,0
a16cdc66c0c090e3320ceb4956dd3e711d824a2a,9,3,0,135,0,0,0,0,0,0
2f46d5468b7eaabfb23081669e6c1c2760a1bc16,9,3,0,141,0,0,0,0,7,1
8bb8a1731be429f1a93dbc2b351e747faf355960,9,3,0,143,0,0,0,0,3,1
e2e15d1f4dae5e3dd190cd0ebfee8537723b600d,9,3,0,146,0,0,0,0,5,2
5f0c72dfd6a82891bd92c96ff6cae4872faf8357,9,3,0,146,0,0,0,0,0,0
7b62451047dc3aa7d2acefccbef1a57cc15e933a,9,3,0,146,0,0,0,0,0,0
4539ebc92d59dd0388658fa482626185088222b8,9,3,0,162,0,0,0,0,17,1
f565179a2e4487610790a8fdeccd0cccf2f2e2cb,9,3,0,162,0,0,0,0,3,3
152dfd55bd5b53e6967acb97286b5b6a8faa7ab8,9,3,0,198,0,0,0,0,38,1
5ed73386d1d57684ce17f809e996a95e26f33ab5,10,3,0,197,1,0,0,0,2,3
2e6cee712c3365659141deb330dc49fec509248a,10,3,0,197,0,0,0,0,0,0
3d9fd154bcc75686706d00c4fc7bbe26988be99c,10,3,0,197,0,0,0,0,1,2
888775afe7552b0f93bb23f2e86667f677523824,11,3,0,197,1,0,0,0,0,0
4c979245b5d7749b381b22daa11ed719369eed9d,11,3,0,213,0,0,0,0,24,8
ecc79f96291ca5f704cf56330598070d4798f89a,11,3,0,213,0,0,0,0,0,0
ccb05c2e041bbb2f9b3acccb2a80b48993d36f12,10,4,1,259,3,4,1,0,78,32
a24c943119b9c86eafe8e95b6e95ef6e61bc7a46,11,4,1,259,1,0,0,0,0,0
042100678655eccb6add44b2ead047a57252f64b,13,4,1,268,3,1,0,0,30,21
5861e10ac5d87b3d60a7a5d721c457f52a379bd7,14,4,1,268,1,0,0,0,0,0
f6ed2b7f0691556ad9cc7b55921641c3c3996e3a,14,4,1,312,0,0,0,0,98,54
d16381a91146c8d9742f3d7674b812335df7da31,14,4,1,335,0,0,0,0,40,17
4f54921b968dd4ac0f87589f0e77ef57de8b1d9c,14,4,1,335,0,0,0,0,0,0
9386fcb9ebc3d32f7253933b02e9d3ac21d7bafb,14,4,1,346,0,0,0,0,21,10
4e48eb1ae56214927d03bb1118813cc4230ea04d,14,4,1,346,0,0,0,0,0,0
